track_id,track_name,album_name,artists,popularity,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artist_genres,date,streams
496vIKS2INz840xZaKncvR,All Night Parking (with Erroll Garner) Interlude,30,Adele,62,161829,0.734,0.497,8,-9.666,1,0.166,0.67,2.35e-05,0.194,0.307,127.989,3,"['british soul', 'pop', 'pop soul', 'uk pop']",2021-11-18,8234
1zzxoZVylsna2BQB65Ppcb,X Gon' Give It To Ya,The Definition Of X: Pick Of The Litter,DMX,70,217587,0.761,0.899,10,-3.09,0,0.183,0.0137,0.0,0.0719,0.673,95.021,4,"['detroit hip hop', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap']",2021-04-09,90489
5R4Yrc2j4jw1itr4hKcN26,Feline (with Polo G & Trippie Redd),Fighting Demons,Juice WRLD,0,212204,0.575,0.619,0,-6.663,1,0.322,0.0208,0.0,0.103,0.296,110.109,5,"['chicago rap', 'melodic rap', 'rap']",2021-12-10,2425436
2sXf2JdbB2GlNju00kw9WE,Skate,Skate,Bruno Mars,1,203123,0.708,0.598,5,-8.365,1,0.0291,0.037,0.0,0.17,0.698,112.027,4,"['dance pop', 'pop']",2021-07-30,8303
2NM0qHzx4Ohy8iXHEEgwlO,Having Our Way (feat. Drake),Culture III,Migos,57,278191,0.927,0.538,1,-3.917,1,0.116,0.0312,0.0,0.0945,0.221,125.983,4,"['atl hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",2021-06-11,23253
3J4VKkUpLvomXJbn9ZAypO,Sharing Locations (feat. Lil Baby & Lil Durk),Sharing Locations (feat. Lil Baby & Lil Durk),Meek Mill,56,161053,0.681,0.63,1,-5.585,1,0.0385,0.00383,0.0,0.139,0.183,151.951,4,"['hip hop', 'philly rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",2021-08-27,20541
5KQxun2WxwDMsV7HCN2ONK,Rich MF (feat. Polo G & Lil Durk),Trip At Knight,Trippie Redd,0,247714,0.756,0.698,6,-5.464,1,0.178,0.0849,0.0,0.221,0.66,77.497,4,"['melodic rap', 'rap', 'trap']",2021-08-20,63961
6bpq1jGkVz66Q3LYeoXdjZ,SCOOP (feat. Doja Cat),MONTERO,Lil Nas X,57,174164,0.841,0.527,6,-8.116,1,0.149,0.0427,1.54e-06,0.12,0.582,163.975,4,['lgbtq+ hip hop'],2021-09-17,91026
1n3b9Eekoy3S9ZSZ5DmTW1,All Too Well (Sad Girl Autumn Version) - Recorded at Long Pond Studios,All Too Well (Sad Girl Autumn Version) - Recorded at Long Pond Studios,Taylor Swift,60,598150,0.585,0.286,0,-10.123,1,0.0312,0.838,0.0,0.115,0.189,93.009,4,['pop'],2021-11-18,1637208
7uZqvqXzzYMKrexKxdcGmd,Diamonds Dancing (feat. Travis Scott),Slime Language 2,Young Stoner Life,57,242600,0.851,0.703,4,-7.351,0,0.303,0.00949,2.57e-05,0.0895,0.596,74.017,4,['pop rap'],2021-04-16,10476
